city,zip
98058,Renton
98115,Seattle
98006,Bellevue
98034,Kirkland
98052,Redmond
98031,Kent
98007,Bellevue
98199,Seattle
98027,Issaquah
98119,Seattle
98122,Seattle
98155,Seattle
98055,Renton
98118,Seattle
98014,Carnation
98059,Renton
98004,Bellevue
98053,Redmond
98072,Woodinville
98133,Seattle
98092,Auburn
98074,Sammamish
98125,Seattle
98045,North Bend
98106,Seattle
98022,Enumclaw
98177,Seattle
98008,Bellevue
98002,Auburn
98040,Mercer Island
98029,Issaquah
98042,Kent
98001,Auburn
98065,Snoqualmie
98056,Renton
98144,Seattle
98188,Seattle
98109,Seattle
98010,Black Diamond
98075,Sammamish
98198,Seattle
98030,Kent
98105,Seattle
98023,Federal Way
98028,Kenmore
98112,Seattle
98038,Maple Valley
98116,Seattle
98103,Seattle
98178,Seattle
98168,Seattle
98005,Bellevue
98077,Woodinville
98146,Seattle
98011,Bothell
98126,Seattle
98108,Seattle
98136,Seattle
98033,Kirkland
98003,Federal Way
98117,Seattle
98107,Seattle
98019,Duvall
98102,Seattle
98032,Kent
98148,Seattle
98166,Seattle
98070,Vashon
98024,Fall City
98039,Medina
